RUBRO;MOC_ZONAS_ID;AÑO;CUATRIMESTRE;NIVEL
PANADERIAS;20;2017;1;1
RESTAURANTES;20;2017;1;1
RESTAURANTES;20;2017;2;1
SUPERMERCADOS Y ALMACENES;20;2017;1;1
CARNES Y VERDURAS;19;2017;1;1
COMIDA AL PASO;19;2017;1;1
FERRETERIA Y CONSTRUCCION;19;2017;1;1
FIAMBRERIAS Y DIETETICAS;19;2017;1;1
FIAMBRERIAS Y DIETETICAS;19;2017;2;1
INDUMENTARIA;19;2017;1;1
INDUMENTARIA;19;2017;2;1
MUSICA Y LIBRERIA;19;2017;1;1
SUPERMERCADOS Y ALMACENES;19;2017;1;1
CARNES Y VERDURAS;18;2017;1;1
COMIDA AL PASO;18;2017;1;1
FERRETERIA Y CONSTRUCCION;18;2017;1;1
INDUMENTARIA;18;2017;1;1
KIOSCOS Y LOTERIAS;18;2017;1;1
SUPERMERCADOS Y ALMACENES;18;2017;1;1
CARNES Y VERDURAS;17;2017;2;1
COMIDA AL PASO;17;2017;1;1
INDUMENTARIA;17;2017;1;1
KIOSCOS Y LOTERIAS;17;2017;1;1
KIOSCOS Y LOTERIAS;17;2017;2;1
MUSICA Y LIBRERIA;17;2017;1;1
SALUD Y COSMETICA;17;2017;1;1
SALUD Y COSMETICA;17;2017;2;1
TRATAMIENTOS ESTETICOS;17;2017;2;1
CARNES Y VERDURAS;16;2017;1;1
COMIDA AL PASO;16;2017;1;1
FERRETERIA Y CONSTRUCCION;16;2017;2;1
INDUMENTARIA;16;2017;1;1
INDUMENTARIA;16;2017;2;1
INSTITUCIONES DEPORTIVAS;16;2017;1;1
INSUMOS PARA EL HOGAR;16;2017;1;1
KIOSCOS Y LOTERIAS;16;2017;1;1
MUSICA Y LIBRERIA;16;2017;1;1
SALUD Y COSMETICA;16;2017;1;1
SUPERMERCADOS Y ALMACENES;16;2017;2;1
TRATAMIENTOS ESTETICOS;16;2017;1;1
TRATAMIENTOS ESTETICOS;16;2017;2;1
VETERINARIA;16;2017;1;1
INDUMENTARIA;15;2017;2;1
SUPERMERCADOS Y ALMACENES;15;2017;1;1
INDUMENTARIA;14;2017;2;1
INDUMENTARIA;13;2017;2;1
SUPERMERCADOS Y ALMACENES;13;2017;1;1
KIOSCOS Y LOTERIAS;12;2017;1;1
SALUD Y COSMETICA;12;2017;1;1
TRATAMIENTOS ESTETICOS;12;2017;2;1
CARNES Y VERDURAS;11;2017;1;1
COMIDA AL PASO;11;2017;1;1
INDUMENTARIA;11;2017;1;1
MUSICA Y LIBRERIA;11;2017;1;1
SALUD Y COSMETICA;11;2017;1;1
SUPERMERCADOS Y ALMACENES;11;2017;1;1
BARES Y CAFES;10;2017;1;1
COMIDA AL PASO;10;2017;2;1
FERRETERIA Y CONSTRUCCION;10;2017;1;1
FIAMBRERIAS Y DIETETICAS;10;2017;1;1
KIOSCOS Y LOTERIAS;10;2017;2;1
OPTICA Y JOYERIAS;10;2017;1;1
PANADERIAS;10;2017;2;1
SALUD Y COSMETICA;10;2017;2;1
FERRETERIA Y CONSTRUCCION;9;2017;2;1
INDUMENTARIA;9;2017;1;1
INDUMENTARIA;9;2017;2;1
KIOSCOS Y LOTERIAS;9;2017;1;1
PANADERIAS;9;2017;1;1
PANADERIAS;9;2017;2;1
CARNES Y VERDURAS;7;2017;1;1
FERRETERIA Y CONSTRUCCION;7;2017;1;1
MUSICA Y LIBRERIA;7;2017;1;1
PANADERIAS;7;2017;2;1
SUPERMERCADOS Y ALMACENES;7;2017;2;1
VETERINARIA;7;2017;1;1
INDUMENTARIA;6;2017;2;1
MUSICA Y LIBRERIA;6;2017;1;1
SUPERMERCADOS Y ALMACENES;6;2017;1;1
CARNES Y VERDURAS;4;2017;1;1
COMIDA AL PASO;4;2017;1;1
SUPERMERCADOS Y ALMACENES;4;2017;1;1
HELADERIAS;3;2017;1;1
INDUMENTARIA;3;2017;1;1
OPTICA Y JOYERIAS;3;2017;1;1
PANADERIAS;3;2017;2;1
BARES Y CAFES;2;2017;1;1
COMIDA AL PASO;1;2017;1;1
INDUMENTARIA;1;2017;1;1
MUSICA Y LIBRERIA;1;2017;1;1
RESTAURANTES;1;2017;1;1
TRATAMIENTOS ESTETICOS;1;2017;1;1
