,Unnamed: 0,operation,property_type,place_name,place_with_parent_names,country_name,state_name,geonames_id,lat-lon,lat,lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url,description,title,image_thumbnail
96,96,sell,apartment,San Bernardo,|Argentina|Buenos Aires Costa Atlántica|San Bernardo|,Argentina,Buenos Aires Costa Atlántica,3429228.0,"-36.6806689,-56.6774832",-36.6806689,-56.677483200000005,54000.0,USD,952803.0,54000.0,75.0,30.0,720.0,1800.0,3.0,2.0,800.0,http://www.properati.com.ar/15c0x_venta_departamento_san-bernardo_balcon_lavadero_parrilla_terraza_vista_placard_distefano-propiedades-casa-central,"Departamento de 2 ambientes, ubicado en la costanera al 3300 entre las calle Obligado y Frias, piso 3 al frente por escalera, a metros del mar y 500 metros de Av San Bernardo (lado norte).Esta propiedad consta de estar cocina comedor integrado, baño y balcon lateral vista al mar en su planta baja y en la planta superior tiene el dormitorio con placard empotrado con salida a gran terraza propia con lavadero y parrilla y una ESPECTACULAR VISTA AL MAR.Se vende con muebles, muy buen estado generalVISITELO!!!!! -  - DISTEFANO SERVICIO INMOBILIARIO INTEGRAL",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/9/GbdfNPqf43VErcNxfn3srhG11Ag=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/DIT2609_2.jpg%3F1501532885
691,691,sell,PH,Belgrano,|Argentina|Capital Federal|Belgrano|,Argentina,Capital Federal,3436077.0,"-34.5666711,-58.4720061",-34.5666711,-58.4720061,152000.0,USD,2681964.0,152000.0,52.0,52.0,2923.076923076924,2923.076923076924,6.0,2.0,1800.0,http://www.properati.com.ar/15fqi_venta_ph_belgrano_washington_2432_luminoso_garage_santiago-jannot-capital,"Venta de Departamento 1 DORM en BELGRANO, Capital FederalSANTIAGO JANNOT PROP.  -  -  departamento totalmente reciclado hace 4 años. Todo externo. Excelentes placares. Baño con ventilación. Pisos de parquet tipo damero.Cochera fija descubierta. Posible segundo dormitorio.AVISO IMPORTANTE: LA OFERTA DE ESTE INMUEBLE ES A SOLO TÍTULO INFORMATIVO, PUES LA VENTA DE LA PROPIEDAD ESTA SUPEDITADA A QUE EL PROPIETARIO CUMPLIMENTE EL TRAMITE ANTE LA AFIP PARA LA OBTENCION DEL Nº DE COTI. -  - SANTIAGO JANNOT",PH EN VENTA,https://thumbs4.properati.com/7/MEz4_dEg2qrZaXjNs22F5bXPweM=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/JNT2137_2.jpg%3F1501533436
692,692,sell,PH,Belgrano,|Argentina|Capital Federal|Belgrano|,Argentina,Capital Federal,3436077.0,"-34.5666711,-58.4720061",-34.5666711,-58.4720061,152000.0,USD,2681964.0,152000.0,52.0,52.0,2923.076923076924,2923.076923076924,6.0,3.0,1800.0,http://www.properati.com.ar/15fqj_venta_ph_belgrano_washington_2432_luminoso_garage_santiago-jannot-capital,"Venta de Departamento 1 DORM en BELGRANO, Capital FederalSANTIAGO JANNOT PROP.  -  -  departamento totalmente reciclado hace 4 años. Todo externo. Excelentes placares. Baño con ventilación. Pisos de parquet tipo damero.Cochera fija descubierta. Posible segundo dormitorio.AVISO IMPORTANTE: LA OFERTA DE ESTE INMUEBLE ES A SOLO TÍTULO INFORMATIVO, PUES LA VENTA DE LA PROPIEDAD ESTA SUPEDITADA A QUE EL PROPIETARIO CUMPLIMENTE EL TRAMITE ANTE LA AFIP PARA LA OBTENCION DEL Nº DE COTI. -  - SANTIAGO JANNOT",PH EN VENTA,https://thumbs4.properati.com/6/FxryMiabZX3EGZKc7DqsPRJpy0A=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/jnt2343_2.jpg%3F1501533439
693,693,sell,PH,Belgrano,|Argentina|Capital Federal|Belgrano|,Argentina,Capital Federal,3436077.0,"-34.5666225,-58.4721291",-34.5666225,-58.4721291,152000.0,USD,2681964.0,152000.0,52.0,52.0,2923.076923076924,2923.076923076924,6.0,3.0,1800.0,http://www.properati.com.ar/15fqk_venta_ph_belgrano_washington_2432_luminoso_garage_santiago-jannot-capital,"Venta de Departamento 1 DORM en BELGRANO, Capital FederalSANTIAGO JANNOT PROP.  -  -  departamento totalmente reciclado hace 4 años. Todo externo. Excelentes placares. Baño con ventilación. Pisos de parquet tipo damero.Cochera fija descubierta. Posible segundo dormitorio.AVISO IMPORTANTE: LA OFERTA DE ESTE INMUEBLE ES A SOLO TÍTULO INFORMATIVO, PUES LA VENTA DE LA PROPIEDAD ESTA SUPEDITADA A QUE EL PROPIETARIO CUMPLIMENTE EL TRAMITE ANTE LA AFIP PARA LA OBTENCION DEL Nº DE COTI. -  - SANTIAGO JANNOT",PH EN VENTA,https://thumbs4.properati.com/0/fHtkOyhk8sPUhG4gLNpw63_8CqE=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/jnt2344_2.jpg%3F1501533439
694,694,sell,PH,Coghlan,|Argentina|Capital Federal|Coghlan|,Argentina,Capital Federal,3435359.0,"-34.5666643,-58.471989",-34.5666643,-58.471989,152000.0,USD,2681964.0,152000.0,52.0,52.0,2923.076923076924,2923.076923076924,6.0,2.0,1800.0,http://www.properati.com.ar/15fql_venta_ph_coghlan_washington_2432_luminoso_garage_santiago-jannot-capital,"Venta de Departamento 1 DORM en BELGRANO, Capital FederalSANTIAGO JANNOT PROP.  -  -  departamento totalmente reciclado hace 4 años. Todo externo. Excelentes plares. Baño con ventilación. Pisos de parquet tipo damero.Cochera fija descubierta. Posible segundo dormitorio.AVISO IMPORTANTE: LA OFERTA DE ESTE INMUEBLE ES A SOLO TÍTULO INFORMATIVO, PUES LA VENTA DE LA PROPIEDAD ESTA SUPEDITADA A QUE EL PROPIETARIO CUMPLIMENTE EL TRAMITE ANTE LA AFIP PARA LA OBTENCION DEL Nº DE COTI. -  - SANTIAGO JANNOT",PH EN VENTA,https://thumbs4.properati.com/4/ShIEdJrWC7sVZW4xLQm0fg6ofh4=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/jnt2345_2.jpg%3F1501533439
695,695,sell,PH,Coghlan,|Argentina|Capital Federal|Coghlan|,Argentina,Capital Federal,3435359.0,"-34.5666643,-58.471989",-34.5666643,-58.471989,152000.0,USD,2681964.0,152000.0,52.0,52.0,2923.076923076924,2923.076923076924,6.0,3.0,1800.0,http://www.properati.com.ar/15fqm_venta_ph_coghlan_washington_2432_luminoso_garage_santiago-jannot-capital,"Venta de Departamento 1 DORM en BELGRANO, Capital FederalSANTIAGO JANNOT PROP.  -  -  departamento totalmente reciclado hace 4 años. Todo externo. Excelentes placares. Baño con ventilación. Pisos de parquet tipo damero.Cochera fija descubierta. Posible segundo dormitorio.AVISO IMPORTANTE: LA OFERTA DE ESTE INMUEBLE ES A SOLO TÍTULO INFORMATIVO, PUES LA VENTA DE LA PROPIEDAD ESTA SUPEDITADA A QUE EL PROPIETARIO CUMPLIMENTE EL TRAMITE ANTE LA AFIP PARA LA OBTENCION DEL Nº DE COTI. -  - SANTIAGO JANNOT",PH EN VENTA,https://thumbs4.properati.com/2/VZkJPfRa7TZMHdlolwyN-yfT3fI=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/jnt2346_2.jpg%3F1501533439
746,746,sell,apartment,Caballito,|Argentina|Capital Federal|Caballito|,Argentina,Capital Federal,3435874.0,"-34.6259473144,-58.4328219442",-34.6259473144,-58.4328219442,158000.0,USD,2787831.0,158000.0,71.0,62.0,2225.3521126760565,2548.387096774193,2.0,3.0,2653.0,http://www.properati.com.ar/15fuz_venta_departamento_caballito_beauchef_700_baulera_lavadero_aire-acondicionado_subte-linea-e_rapisarda-propiedades,"Venta de Departamento 3 AMBIENTES en Caballito.Edificio de 8 pisos. 3 departamentos por piso. 1 ascensor. Unidad con entrada de servicio. Cocina independiente. Agua caliente por termotanque. Calefacción por estufas a gas. Aire acondicionado por split frío/calor (en dormitorio principal). Pisos alfombrados en living, parquet en dormitorios y cerámicos en cocina, lavadero y baño. Lavadero independiente. Baño completo. Baulera. Encargado con vivienda. -  - RAPISARDA PROPIEDADES",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/3/h1gX9EXOBTGm7F3aq91UyBsBAUg=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/rap725_2.jpg%3F1501534375
781,781,sell,apartment,Coghlan,|Argentina|Capital Federal|Coghlan|,Argentina,Capital Federal,3435359.0,"-34.5644671,-58.4723081",-34.5644671,-58.4723081,138000.0,USD,2434941.0,138000.0,66.0,56.0,2090.909090909091,2464.285714285714,7.0,2.0,2000.0,http://www.properati.com.ar/15fz1_venta_departamento_coghlan_garage_estrenar_mr-inmuebles_akd,"EXCELENTE DEPARTAMENTO SEMIPISO A ESTRENAR DE 2 AMBIENTES Muy luminoso DTO de 56m2 con balcón ATERRAZADO, al frente cocina integrada, pisos flotantes, baño completo con bañera.AMPLIO Y ESPACIOSO DORMITORIO PARA EXIGENTES CON 2 VENTANASÚNICO DEPARTAMENTO EN EL 7° PISO (NO TENES VECINOS) a pocos escalones de la Piscina y solarium.Encargado diurno, TODO EL FRENTE, Espacio guardacoches optativo. También hay dptos. de 3 amb.OPCIONAL COCHERA CUBIERTO  u$s 25.000. -  - M.P CONSULTORA",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/5/MC2Suvbof7XOdfh8T_jsbEyou50=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/PO9281_2.jpg%3F1501536377
1648,1648,sell,apartment,Balvanera,|Argentina|Capital Federal|Balvanera|,Argentina,Capital Federal,6693228.0,"-34.6056268,-58.392264",-34.6056268,-58.392264,146000.0,USD,2576097.0,146000.0,53.0,53.0,2754.716981132075,2754.716981132075,6.0,3.0,1400.0,http://www.properati.com.ar/15j4n_venta_departamento_balvanera_fragata-pres-sarmiento_1800_baulera_hidromasaje_terraza_luminoso_aire-acondicionado_mr-inmuebles_akd,"Venta de Departamento 3 AMBIENTES en Balvanera, Capital Federal Son 2 dormitorios (uno siendo utilizado como oficina con escritorio cajonera y mueble). Living comedor con cocina integrada. Todos los ambientes con ventanas al exterior, con muchos metros de distancia de vecinos!. Muy luminoso. Baulera de 3 m3. Amplio armario espejado en dormitorio principal. Lavasecarropas en baño  moderno con amplio espejo e hidromasaje. El edificio es antiguo, muy sólido, ancho de frente, lobby, escaleras, y paredes. El departamento es refaccionado a nuevo, moderno y muy luminoso, en excelente estado. No posee gas, todo electrico, instalación preparada para colocar aire acondicionado en cada dormitorio. Terraza amplia compartida pero muy poco uilizada, generalmente para tender ropa, es rápido acceso ya que se sube un piso por escalera. Expensas $ 1400.  Es de 53 M2 totales. La ubicación es excelente, a 1 cuadra de Av. Callao y Av. Corrientes (Subte linea B), 8 cuadras del Obelisco, también a 5 cuadras de Subte linea D (Callao), 3 cuadras Subte linea A (Congreso). -  - M.P CONSULTORA",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/3/WGt6FMI-03pV3nMVZ5uxctAir7Y=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/PO9286_2.jpg%3F1501536377
4829,4829,sell,apartment,Palermo,|Argentina|Capital Federal|Palermo|,Argentina,Capital Federal,3430234.0,"-34.5802991,-58.4355947",-34.580299100000005,-58.4355947,480000.0,USD,8469360.0,480000.0,188.0,143.0,2553.1914893617018,3356.643356643357,5.0,5.0,8000.0,http://www.properati.com.ar/15o8m_venta_departamento_palermo_nicaragua_5800_balcon_baulera_suite_parrilla_terraza_toilette_luminoso_dependencias_garage_losa-radiante_subte-linea-d_nexo-propiedades_b76,"Excelente oportunidad de compra de departamento triplex en pleno corazón de Palermo.- Los tres pisos constituyen un sólo Departamento. Tiene losa radiante en los tres pisos, caldera Independiente de doble circuito para Losa Radiante y Servicio Sanitario. Tiene baulera individual, en el 6to. Piso - dedicada al departamento, terraza Semicubierta con parrilla y balcón con parrilla. Tres habitaciones  ( Habitación Suite con baño) y una dependencia de servicio. Dos baños y un toilette. El valor de la expensas incluye (aprox. 9,500ARS)  baulera, cochera, Cable e internet. Muy Luminoso. Cómoda cocina a gas con horno. Edificio de 9 a 10 Años con seguridad de Circuito Cerrado por cámara conectada al servicio de cable. -  - NEXO PROPIEDADES",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/4/ENozlCYvsUVQJMpDr_JNU8eP66Y=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/nxp794_2.jpg%3F1501537854
4831,4831,sell,apartment,Colegiales,|Argentina|Capital Federal|Colegiales|,Argentina,Capital Federal,3435356.0,"-34.5802991,-58.4355947",-34.580299100000005,-58.4355947,480000.0,USD,8469360.0,480000.0,188.0,143.0,2553.1914893617018,3356.643356643357,5.0,5.0,8000.0,http://www.properati.com.ar/15o8o_venta_departamento_colegiales_nicaragua_5800_balcon_baulera_suite_parrilla_terraza_toilette_luminoso_dependencias_garage_losa-radiante_subte-linea-d_nexo-propiedades_b76,"Excelente oportunidad de compra de departamento triplex en pleno corazón de Colegiales. Venta de triplex en Palermo, - Los tres pisos constituyen un sólo Departamento �A"",  Tiene losa radiante en los tres pisos, caldera Independiente de doble circuito para Losa Radiante y Servicio Sanitario. Tiene baulera individual, en el 6to. Piso - dedicada al departamento, terraza Semicubierta con parrilla y balcón con parrilla. Tres habitaciones  ( Habitación Suite con baño) y una dependencia de servicio. Dos baños y un toilette. El valor de la expensas incluye (aprox. 9,500ARS)  baulera, cochera, Cable e internet. Muy Luminoso. Cómoda cocina a gas con horno. Edificio de 9 a 10 Años con seguridad de Circuito Cerrado por cámara conectada al servicio de cable. -  - NEXO PROPIEDADES",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/8/ELd_Ju9UzzO6bg88AgVLCrUVIsc=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/NXP796_2.jpg%3F1501537854
5337,5337,sell,apartment,Barrio Norte,|Argentina|Capital Federal|Barrio Norte|,Argentina,Capital Federal,3436109.0,"-34.5869829204,-58.4011373338",-34.5869829204,-58.4011373338,160000.0,USD,2823120.0,160000.0,44.0,41.0,3636.363636363637,3902.439024390244,6.0,2.0,2800.0,http://www.properati.com.ar/15pwq_venta_departamento_barrio-norte_pacheco-de-melo-jose-andres_2602_balcon_luminoso_garage_subte-linea-d_subte-linea-h_santiago-jannot-capital,"SANTIAGO JANNOT PROP.  -  -   VENTA CON RENTA *****Hermoso departamento. Muy luminoso con balcón. Cochera fija y cubierta. Excelente estado. Pisos de parquet.AVISO IMPORTANTE: LA OFERTA DE ESTE INMUEBLE ES A SOLO TÍTULO INFORMATIVO, PUES LA VENTA DE LA PROPIEDAD ESTA SUPEDITADA A QUE EL PROPIETARIO CUMPLIMENTE EL TRAMITE ANTE LA AFIP PARA LA OBTENCION DEL Nº DE COTI. -  - SANTIAGO JANNOT",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/3/AFf1va3BTM8XXv9OQtu1qiZairI=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/JNT2334_2.jpg%3F1501533439
5362,5362,sell,apartment,El Palomar,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|El Palomar|,Argentina,Bs.As. G.B.A. Zona Oeste,3434509.0,"-34.6062618,-58.5956174",-34.6062618,-58.5956174,59000.0,USD,1041025.5,59000.0,25.0,25.0,2360.0,2360.0,4.0,1.0,615.0,http://www.properati.com.ar/15pzc_venta_departamento_el-palomar_garage_roldan-propiedades,"Roldan propiedades - Venta de Departamento MONOAMBIENTE en El Palomar, 4to piso contrafrente, muy buen estado. A metros de la estacion y del centro comercial. Excelente ubicacion. Boulevard San Martin 3102 - El Palomar -  -  -  - ROLDAN PROPIEDADES",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/3/fKHz3eV3PwOdVTZPdATfrOWT6zQ=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/rld783_2.jpg%3F1501534416
5405,5405,sell,apartment,Barrio Norte,|Argentina|Capital Federal|Barrio Norte|,Argentina,Capital Federal,3436109.0,"-34.5967542,-58.3814337",-34.5967542,-58.3814337,69900.0,USD,1233350.55,69900.0,29.0,29.0,2410.344827586207,2410.344827586207,12.0,1.0,1500.0,http://www.properati.com.ar/15q4f_venta_departamento_barrio-norte_pellegrini-carlos_1000_luminoso_lujoso_subte-linea-d_subte-linea-b_subte-linea-h_subte-linea-c_mosna-inmobiliaria,"Venta de Departamento 1 AMBIENTE en Barrio NorteApto profesional, en excelente ubicación, a metros de Av. Santa Fe Super Luminoso, Vista Abierta.Edificio de muy buena Categoría.Ideal INVERSIÓNPara más información o visitar el inmueble counicarse de lunes a viernes de 10 a 18 hs.Las medidas son a solo efecto orientativo.Mosna InmobiliariaCUCICBA Mat. 5647 Tel:  / 3026E-mail:  -  - MOSNA INMOBILIARIA",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/6/3wsNeJJ6jAqHpiPMuTUY3pSklh8=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/msp169_2.jpg%3F1501537905
5415,5415,sell,apartment,Recoleta,|Argentina|Capital Federal|Recoleta|,Argentina,Capital Federal,3429595.0,"-34.5900213,-58.3828993",-34.5900213,-58.3828993,480000.0,USD,8469360.0,480000.0,110.0,110.0,4363.636363636364,4363.636363636364,27.0,3.0,7500.0,http://www.properati.com.ar/15q5e_venta_departamento_recoleta_posadas_1120_baulera_suite_luminoso_vista_lujoso_dependencias_garage_amoblado_subte-linea-h_subte-linea-c_lounge-propiedades_bry,"Venta de Departamento 3 AMBIENTES en Recoleta, Capital Federal-DESCRIPCIÓN:-DEPARTAMENTO AMOBLADO DE GRAN CATEGORIA UBICADO EN LA TORRE SUDAMERICA.-PISO 27 CON EXCELENTE VISTA AL RIO , A LA NUEVE DE JULIO Y A LA CIUDAD. -MUY LUMINOSO EN TODOS LOS AMBIENTES.-LIVING COMEDOR DIARIO.-2 DORMITORIOS CON GRANDES PLACARDS (FRENTES ESPEJADOS) ; LOS DOS EN SUITE.-COCINA.-DEPENDENCIA DE SERVICIO.-COCHERA FIJA.-BAULERA.-VIGILANCIA 25 HS.-EXCELENTE UBICACIÓN A METROS DE LA RECOVA Y EL FOUR SEASONS.-LAS EXPENSAS INCLUYEN LAS DE LA COCHERA. -  - LOUNGE PROPIEDADES",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/8/p4JcPvSvKUYmsV4rpk2l3bFeXFc=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/LOU1031_2.jpg%3F1501538336
5630,5630,sell,apartment,Saavedra,|Argentina|Capital Federal|Saavedra|,Argentina,Capital Federal,3429422.0,"-34.5567548,-58.4824555",-34.55675479999999,-58.48245550000001,134000.0,USD,2364363.0,134000.0,51.0,51.0,2627.450980392157,2627.450980392157,3.0,2.0,1200.0,http://www.properati.com.ar/15r77_venta_departamento_saavedra_balcon_garage_aire-acondicionado_estrenar_rcm-propiedades_c67,"DOS AMBIENTES CON COCHERA CUBIERTA. Se trata de un amplio dos ambientes de 51metros a estrenar en un barrio de casas bajas, vista abierta y mucha luz. Consta de baño completo, cocina completa con espacio para lavarropas, balcón, habitación con buenas dimensiones, placar con interiores, aire acondicionado frío/calor en ambos ambientes, TODO LISTO PARA MUDARTE Y DISFRUTARLO! - PARA VERLO ME PODES LLAMAR AL 15- Bróker Rubén López Martillero resp. Hernan Carbone CUCICBA Mat. 5493 -  - RCM PROPIEDADES",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/0/t6ykx5sMybbdhd2xso5LsuEXd6s=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/RCM45_2.JPG%3F1501538448
6443,6443,sell,apartment,Villa Ballester,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|Villa Ballester|,Argentina,Bs.As. G.B.A. Zona Norte,3427467.0,"-34.556816,-58.5617633",-34.556816,-58.56176329999999,64000.0,USD,1129248.0,64000.0,39.0,39.0,1641.0256410256409,1641.0256410256409,2.0,2.0,600.0,http://www.properati.com.ar/15u30_venta_departamento_villa-ballester_11-de-septiembre-4806_balcon_rocchio-propiedades_bdw,"Venta de Departamento 2 AMBIENTES en Villa Ballester, General San MartínDEPARTAMENTO 2 AMBIENTES, LIVING-COMEDOR CON PISOS EN CERÁMICO, COCINA TOTALMENTE EQUIPADA CON MUEBLES BAJOS Y ALTOS, BAÑO COMPLETO, 1 DORMITORIO CON PISOS FLOTANTE, BALCÓN FRANCÉS.CONSULTE.PARA MAS INFORMACIÓN COMUNÍQUESE CON NOSOTROS AL  /   DE LUN A VIE DE 9.30 A 12.30 HS / 15.30 A 19.30 HS Y SAB. DE 9.30 A 13 HS O INGRESE EN NUESTRA WEB:  TAMBIÉN PODES ENCONTRARNOS EN: , TWITTER/, GOOGLE+ Y LINKEDIN. -  - ROCCHIO PROPIEDADES",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/2/CvsxVaDv3O42dqba5uPLv4bInE4=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/roc758_2.jpg%3F1501537976
7697,7697,sell,apartment,Caballito,|Argentina|Capital Federal|Caballito|,Argentina,Capital Federal,3435874.0,"-34.6036844,-58.3815591",-34.6036844,-58.3815591,310000.0,USD,5469795.0,310000.0,77.0,72.0,4025.974025974026,4305.555555555556,8.0,3.0,4000.0,http://www.properati.com.ar/15yt1_venta_departamento_caballito_goyena-pedro-avda-1750_balcon_suite_gimnasio_piscina_sum_vista_sauna_garage_estrenar_subte-linea-a_aguero-vera-propiedades,"DEPARTAMENTO TRES AMBIENTES A ESTRENAR .FRENTE . BALCON .COCHERA EN EL SEGUNDO SUBSUELO. ORIENTACION NORTE . DORMITORIO EN SUITE Y BAÑO COMPLETO .COCINA TOTALMENTE EQUIPADA . PISOS FLOTANTES .EXCELENTE VISTA PANORÁMICA . PISCINA. SUM . GYM . SAUNA . SALA DE MASAJES . JUEGOS PARA CHICOS .SEGURIDAD LAS 24 HS . COCHERA NUMERO 24PARA BRINDARLE UNA MEJOR ATENCIÓN, HABILITAMOS UN CANAL DE COMUNICACIÓN, EN PROCURA DE MEJORAR LA CALIDAD DE NUESTRO SERVICIO DE ATENCIÓN AL CLIENTE, POR FAVOR ENVÍENOS SU OPINIÓN O CONSULTA A  O EN NUESTRA PAGINA WEB  supeditada a que los propietarios cumplan con los requisitos de la Resolución General 2371 de la AFIP y a la tramitación del COTI de acuerdo a la ley, si correspondiese - -  - AGUERO VERA PROPIEDADES",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/8/TgBleq6Qfzj94TfzYTqWOg5HySw=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/agu2751_2.jpg%3F1501534198
7698,7698,sell,apartment,Flores,|Argentina|Capital Federal|Flores|,Argentina,Capital Federal,3433918.0,"-34.6154989,-58.4637207",-34.6154989,-58.4637207,102000.0,USD,1799739.0,102000.0,54.0,46.0,1888.888888888889,2217.391304347826,2.0,3.0,1800.0,http://www.properati.com.ar/15yt9_venta_departamento_flores_gaona-avda-2662_balcon_lavadero_luminoso_placard_bertolotti,"3 AMBIENTES CON BALCON AL FRENTE, EN VENTA, EN FLORES!!APTO CRÉDITO!!EN EXCELENTE UBICACION A 3 CUADRAS DE PLAZA IRLANDA, A 4 CUADRAS DE METROBUS, Y A METROS AV. BOYACA!!TODO EXTERNO Y LUMINOSO2 PISO POR ESCALERA, INGRESANDO POR UN COMODO HALL DE ENTRADA, LIVING COMEDOR CON SALIDA AL BALCÓN CORRIDO DE 8 X 1, DORMITORIO PRINCIPAL CON PLACARD Y 2DO DORMITORIO, TODO CON PISOS DE PARQUET, COCINA COMPLETA CON LAVADERO INCORPORADO, BAÑO COMPLETO CON VENTILACIÓN NATURAL.SUCURSAL V. CRESPO ()SUCURSAL ALMAGRO () deja constancia que las medidas son orientativas, las reales surgirán del título de propiedad respectivo""FOTOS DE CARÁCTER NO CONTRACTUAL. -  - EBERTOLOTTI",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/5/vCIG3Gui0aP-4Go088O2Nsp7wwQ=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/ber5602_2.jpg%3F1501534249
7699,7699,sell,apartment,Caballito,|Argentina|Capital Federal|Caballito|,Argentina,Capital Federal,3435874.0,"-34.6154989,-58.4637207",-34.6154989,-58.4637207,102000.0,USD,1799739.0,102000.0,54.0,46.0,1888.888888888889,2217.391304347826,2.0,3.0,1800.0,http://www.properati.com.ar/15yta_venta_departamento_caballito_gaona-avda-2662_balcon_lavadero_luminoso_placard_bertolotti,"3 AMBIENTES CON BALCON AL FRENTE, EN VENTA, EN CABALLITO!!APTO CRÉDITO!!EN EXCELENTE UBICACION A 3 CUADRAS DE PLAZA IRLANDA, A 4 CUADRAS DE METROBUS, Y A METROS AV. BOYACA!!TODO EXTERNO Y LUMINOSO2 PISO POR ESCALERA, INGRESANDO POR UN COMODO HALL DE ENTRADA, LIVING COMEDOR CON SALIDA AL BALCÓN CORRIDO DE 8 X 1, DORMITORIO PRINCIPAL CON PLACARD Y 2DO DORMITORIO, TODO CON PISOS DE PARQUET, COCINA COMPLETA CON LAVADERO INCORPORADO, BAÑO COMPLETO CON VENTILACIÓN NATURAL.SUCURSAL V. CRESPO ()SUCURSAL ALMAGRO () deja constancia que las medidas son orientativas, las reales surgirán del título de propiedad respectivo""FOTOS DE CARÁCTER NO CONTRACTUAL. -  - EBERTOLOTTI",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/2/5diB_-QrwvwgJlr2br22LMyQqRE=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/ber5603_2.jpg%3F1501534249
7700,7700,sell,apartment,Villa General Mitre,|Argentina|Capital Federal|Villa General Mitre|,Argentina,Capital Federal,3427433.0,"-34.6154989,-58.4637207",-34.6154989,-58.4637207,102000.0,USD,1799739.0,102000.0,54.0,46.0,1888.888888888889,2217.391304347826,2.0,3.0,1800.0,http://www.properati.com.ar/15ytb_venta_departamento_villa-general-mitre_gaona-avda-2662_balcon_lavadero_luminoso_placard_bertolotti,"3 AMBIENTES CON BALCON AL FRENTE, EN VENTA, EN VILLA GENERAL MITRE!!APTO CRÉDITO!!EN EXCELENTE UBICACION A 3 CUADRAS DE PLAZA IRLANDA, A 4 CUADRAS DE METROBUS, Y A METROS AV. BOYACA!!TODO EXTERNO Y LUMINOSO2 PISO POR ESCALERA, INGRESANDO POR UN COMODO HALL DE ENTRADA, LIVING COMEDOR CON SALIDA AL BALCÓN CORRIDO DE 8 X 1, DORMITORIO PRINCIPAL CON PLACARD Y 2DO DORMITORIO, TODO CON PISOS DE PARQUET, COCINA COMPLETA CON LAVADERO INCORPORADO, BAÑO COMPLETO CON VENTILACIÓN NATURAL.SUCURSAL V. CRESPO ()SUCURSAL ALMAGRO () deja constancia que las medidas son orientativas, las reales surgirán del título de propiedad respectivo""FOTOS DE CARÁCTER NO CONTRACTUAL. -  - EBERTOLOTTI",DEPARTAMENTO EN VENTA,https://thumbs4.properati.com/5/oKE7NmQky52oeAR_YfAuleMAiII=/trim/198x0/smart/filters:strip_icc()/xintelweb.com/upload/ber5604_2.jpg%3F1501534249
